m,run,gold,majority_flex,majority_exact,bom_flex,bom_exact,total_think,total_toks
1,2,540,False,False,False,False,4003,4975
1,2,204,False,False,False,False,4003,5030
1,2,721,False,False,False,False,4003,5030
1,2,236,False,False,False,False,5027,5030
1,2,809,True,False,True,False,5028,5030
1,2,45,False,False,False,False,4004,5030
1,2,385,False,False,False,False,4004,5030
1,2,104,False,False,False,False,4004,5030
1,2,601,False,False,False,False,5027,5030
1,2,23,False,False,False,False,4004,5030
1,2,321,True,False,True,False,5028,5030
1,2,104,False,False,False,False,5027,5030
1,2,902,False,False,False,False,5028,5030
1,2,211,False,False,False,False,5028,5030
1,2,113,False,False,False,False,4004,5030
1,2,33,False,False,False,False,4004,5030
1,2,110,False,False,False,False,4004,4919
1,2,25,True,True,True,True,5027,5030
1,2,73,False,False,False,False,5028,5030
1,2,55,True,True,True,True,4004,4696
1,2,127,False,False,False,False,5028,5030
1,2,294,True,True,True,True,3804,4587
1,2,468,False,False,False,False,5028,5030
1,2,197,False,False,False,False,5028,5030
1,2,480,False,False,False,False,5028,5030
1,2,699,False,False,False,False,5028,5030
1,2,315,False,False,False,False,5028,5030
1,2,371,False,False,False,False,5027,5030
1,2,80,False,False,False,False,5028,5030
1,2,116,True,True,True,True,4002,4741
