m,run,gold,majority_flex,majority_exact,bom_flex,bom_exact,total_think,total_toks
2,0,540,False,False,False,False,10054,10060
2,0,204,False,False,False,False,8008,10060
2,0,721,False,False,False,False,10056,10060
2,0,236,False,False,False,False,10056,10060
2,0,809,False,False,False,False,8008,10060
2,0,45,False,False,False,False,10056,10060
2,0,385,False,False,False,False,8006,10060
2,0,104,False,False,False,False,10054,10060
2,0,601,False,False,False,False,10056,10060
2,0,23,False,False,False,False,8008,10060
2,0,321,True,False,True,False,10056,10060
2,0,104,False,False,False,False,8008,10060
2,0,902,False,False,False,False,10056,10060
2,0,211,False,False,False,False,10055,10060
2,0,113,False,False,False,False,8008,10060
2,0,33,False,False,False,False,8008,10060
2,0,110,False,False,False,False,10054,10060
2,0,25,True,False,True,False,8006,10060
2,0,73,False,False,False,False,10056,10060
2,0,55,False,False,False,False,10056,10060
2,0,127,False,False,False,False,10054,10060
2,0,294,True,False,True,False,10054,10060
2,0,468,False,False,False,False,8008,10060
2,0,197,False,False,False,False,10056,10060
2,0,480,False,False,False,False,8008,10060
2,0,699,False,False,False,False,10056,10060
2,0,315,False,False,False,False,8008,10060
2,0,371,False,False,False,False,8006,10060
2,0,80,False,False,False,False,10056,10060
2,0,116,True,True,True,True,8436,9900
